workclass,education,education-years,marital,occupation,relationship,race,sex,hours-per-week,natice-country,income
 Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
 Private, 10th,6, Divorced, Machine-op-inspct, Not-in-family, White, Female,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black, Male,45, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Own-child, White, Female,40, United-States, <=50K
 Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,60, Japan, <=50K
 Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,70, United-States, <=50K
 Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,10, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,50, United-States, >50K
 Private, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
 Private, 10th,6, Never-married, Machine-op-inspct, Own-child, Black, Male,45, United-States, <=50K
 Private, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Female,50, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,20, United-States, >50K
 Private, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, Black, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,20, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,40, United-States, >50K
 Private, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Local-gov, HS-grad,9, Widowed, Farming-fishing, Unmarried, White, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K
 Private, 10th,6, Never-married, Other-service, Own-child, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Private, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Male,38, United-States, <=50K
 Local-gov, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,45, United-States, >50K
 Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,35, United-States, >50K
 Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,40, United-States, >50K
 Private, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
 Private, 5th-6th,3, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Female,40, Puerto-Rico, <=50K
 Federal-gov, 9th,5, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, <=50K
 Private, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, 9th,5, Never-married, Other-service, Unmarried, White, Female,50, United-States, <=50K
 Private, Masters,14, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,40, Philippines, <=50K
 Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,40, Trinadad&Tobago, <=50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
 Private, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K
 Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K
 Private, 7th-8th,4, Divorced, Sales, Not-in-family, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K
 Private, Some-college,10, Widowed, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,38, United-States, <=50K
 Self-emp-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40, United-States, >50K
 Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K
 State-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,38, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,49, United-States, <=50K
 Local-gov, 7th-8th,4, Married-civ-spouse, Protective-serv, Husband, White, Male,10, United-States, <=50K
 Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,38, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, <=50K
 Private, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,56, United-States, >50K
 Private, 11th,7, Widowed, Sales, Own-child, Black, Female,35, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,40, United-States, <=50K
 Local-gov, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female,40, United-States, <=50K
 State-gov, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,50, United-States, >50K
 Private, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, Mexico, <=50K
 Private, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Own-child, White, Male,36, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,84, United-States, >50K
 Private, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,40, United-States, >50K
 Self-emp-not-inc, HS-grad,9, Never-married, Prof-specialty, Unmarried, White, Female,40, Dominican-Republic, >50K
 Local-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,35, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Own-child, White, Female,30, United-States, <=50K
 Private, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Female,55, United-States, <=50K
 State-gov, Some-college,10, Never-married, Other-service, Own-child, White, Male,10, United-States, <=50K
 Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,40, United-States, <=50K
 Local-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,24, United-States, <=50K
 State-gov, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,38, United-States, <=50K
 Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,30, United-States, <=50K
 Private, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,40, Philippines, <=50K
 Private, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,44, United-States, <=50K
 Local-gov, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Craft-repair, Wife, White, Female,40, United-States, <=50K
 Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, 7th-8th,4, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,40, United-States, <=50K
 Federal-gov, HS-grad,9, Never-married, Transport-moving, Not-in-family, Black, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,40, Puerto-Rico, <=50K
 Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
 Private, 9th,5, Never-married, Handlers-cleaners, Own-child, Black, Male,36, United-States, <=50K
 Private, Bachelors,13, Divorced, Craft-repair, Unmarried, White, Male,50, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Male,45, United-States, <=50K
 Local-gov, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
 State-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,60, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,8, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,24, United-States, <=50K
 Local-gov, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,35, United-States, >50K
 Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Local-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Private, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,40, United-States, <=50K
 Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,54, United-States, >50K
 Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,20, United-States, <=50K
 Federal-gov, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,48, United-States, <=50K
 Private, 9th,5, Divorced, Other-service, Not-in-family, White, Male,25, United-States, <=50K
 Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, >50K
 Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,65, United-States, >50K
 State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,37, United-States, <=50K
 Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,10, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Sales, Husband, Black, Male,40, United-States, >50K
 Private, Some-college,10, Separated, Exec-managerial, Not-in-family, White, Male,45, United-States, >50K
 Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, <=50K
 Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,45, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Male,40, El-Salvador, <=50K
 Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,40, Italy, >50K
 Federal-gov, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,48, United-States, <=50K
 Local-gov, Some-college,10, Never-married, Exec-managerial, Unmarried, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,45, United-States, <=50K
 Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,40, United-States, <=50K
 Self-emp-not-inc, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,99, United-States, >50K
 Self-emp-not-inc, HS-grad,9, Never-married, Other-service, Own-child, White, Male,40, Greece, <=50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,15, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,45, United-States, <=50K
 Private, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,16, United-States, <=50K
 Private, HS-grad,9, Divorced, Other-service, Other-relative, White, Male,40, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,55, United-States, >50K
 Private, Some-college,10, Widowed, Sales, Not-in-family, White, Male,40, United-States, <=50K
 Local-gov, Bachelors,13, Separated, Exec-managerial, Not-in-family, White, Male,45, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,55, United-States, <=50K
 Private, 11th,7, Never-married, Transport-moving, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,45, United-States, <=50K
 Private, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,50, United-States, <=50K
 Without-pay, 7th-8th,4, Widowed, Farming-fishing, Unmarried, White, Female,50, United-States, <=50K
 Private, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,50, United-States, <=50K
 Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K
 Local-gov, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,45, United-States, <=50K
 Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K
 Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,35, United-States, <=50K
 Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,50, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States, <=50K
 Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,48, United-States, <=50K
 Self-emp-inc, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K
 Private, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White, Male,45, Mexico, <=50K
 Self-emp-not-inc, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,70, United-States, <=50K
 Local-gov, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, Black, Male,46, United-States, <=50K
 Local-gov, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,35, United-States, <=50K
 Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, >50K
 Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,18, United-States, >50K
 Private, Bachelors,13, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,55, United-States, >50K
 Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,48, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,45, United-States, <=50K
 Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
 Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,80, United-States, <=50K
 Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Male,48, United-States, <=50K
 Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,48, China, <=50K
 Private, HS-grad,9, Married-civ-spouse, Tech-support, Other-relative, White, Female,48, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, <=50K
 Local-gov, Bachelors,13, Separated, Prof-specialty, Unmarried, Black, Male,40, United-States, <=50K
 Private, Bachelors,13, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,40, United-States, <=50K
 State-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, Canada, >50K
 Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,45, United-States, <=50K
 Private, 10th,6, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
 Local-gov, HS-grad,9, Divorced, Protective-serv, Unmarried, Black, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, >50K
 Local-gov, 11th,7, Never-married, Adm-clerical, Other-relative, White, Female,25, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K
 Private, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 State-gov, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K
 State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,25, Nicaragua, <=50K
 Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K
 Local-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,6, United-States, <=50K
 Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
 Private, 10th,6, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, <=50K
 Private, 11th,7, Never-married, Transport-moving, Own-child, White, Male,35, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,38, United-States, <=50K
 Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,38, United-States, <=50K
 Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K
 Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, >50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, >50K
 Private, Bachelors,13, Never-married, Transport-moving, Unmarried, White, Male,20, United-States, <=50K
 Private, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,36, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Own-child, White, Male,30, United-States, <=50K
 Private, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K
 Private, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,50, South, >50K
 Private, Some-college,10, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
 Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,55, Germany, <=50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,20, United-States, <=50K
 Private, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,40, Cambodia, >50K
 Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Not-in-family, White, Female,40, United-States, <=50K
 Self-emp-not-inc, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, >50K
 Local-gov, 10th,6, Divorced, Handlers-cleaners, Own-child, Black, Male,40, United-States, <=50K
 Local-gov, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K
 Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Female,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K
 Self-emp-inc, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K
 Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,48, United-States, <=50K
 Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,45, United-States, >50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Not-in-family, Black, Female,35, United-States, <=50K
 Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Not-in-family, White, Male,70, United-States, >50K
 Private, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,38, United-States, <=50K
 Private, Bachelors,13, Never-married, Exec-managerial, Unmarried, White, Female,45, United-States, >50K
 Private, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Male,50, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, >50K
 Self-emp-not-inc, Masters,14, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,55, United-States, >50K
 State-gov, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,38, United-States, <=50K
 Private, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,35, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Other-relative, White, Female,40, United-States, <=50K
 Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States, <=50K
 Private, 9th,5, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,48, United-States, >50K
 Private, Bachelors,13, Separated, Sales, Not-in-family, White, Male,50, United-States, <=50K
 Private, HS-grad,9, Never-married, Farming-fishing, Own-child, Black, Male,30, United-States, <=50K
 Private, Some-college,10, Never-married, Adm-clerical, Other-relative, Black, Female,40, Jamaica, <=50K
 Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,38, United-States, <=50K
 Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,70, United-States, <=50K
 Private, Some-college,10, Married-spouse-absent, Other-service, Not-in-family, White, Female,50, United-States, <=50K
 Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K
 Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,20, United-States, <=50K
 Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K
 Local-gov, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, <=50K
 Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,60, United-States, <=50K
 Federal-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
 Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, Cuba, >50K
 Private, 11th,7, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
 Local-gov, Assoc-acdm,12, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States, <=50K
 Private, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Male,40, England, <=50K
 Private, Some-college,10, Divorced, Other-service, Other-relative, White, Male,40, Nicaragua, <=50K
 Private, Assoc-acdm,12, Divorced, Other-service, Own-child, White, Female,40, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K
 Private, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K
 Private, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
 Federal-gov, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, <=50K
 State-gov, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, <=50K
 Private, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, >50K
 Self-emp-not-inc, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,10, United-States, >50K
 Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, <=50K
 Private, 11th,7, Married-civ-spouse, Sales, Own-child, Black, Male,35, United-States, <=50K
 Private, HS-grad,9, Separated, Exec-managerial, Unmarried, White, Female,42, United-States, <=50K
 Private, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,38, United-States, <=50K
 State-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K
 Private, Bachelors,13, Never-married, Exec-managerial, Unmarried, White, Male,40, United-States, <=50K
 Private, 7th-8th,4, Widowed, Other-service, Unmarried, Black, Female,38, United-States, <=50K
 Private, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,16, United-States, <=50K
 Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K
 Private, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,70, United-States, <=50K
 Self-emp-not-inc, 10th,6, Never-married, Adm-clerical, Own-child, White, Male,10, United-States, <=50K
 Private, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
 Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,42, United-States, >50K
 Private, Bachelors,13, Married-spouse-absent, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
 Private, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,20, United-States, <=50K
 Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, >50K
 Private, 11th,7, Never-married, Other-service, Other-relative, Black, Male,20, United-States, <=50K
 Private, Some-college,10, Never-married, Sales, Unmarried, White, Male,50, Mexico, <=50K
 Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,40, United-States, <=50K
 Local-gov, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K
